***SESSION HEADER***
{
  "Participant": "23",
  "Timestamp": "20-11-51-24-08-2020"
}
---SESSION HEADER---
Time;Position;Rotation.X;Rotation.Y;FPS;Input;
72711.7283;(-42.8100, 2.5500, 76.1200);104.5605;0.0000;Infinity;;
72711.7443;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;268.6460;;
72711.7864;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;186.7366;;
72711.8334;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;162.4881;;
72711.8834;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;151.8462;;
72711.9345;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;118.8695;;
72711.9875;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;135.3893;;
72712.0355;(-42.8100, 2.6340, 76.1233);104.5338;0.0000;139.3443;;
72712.0851;(-42.8100, 2.6340, 76.1233);104.2768;0.0000;142.0889;;
72712.1341;(-42.8100, 2.6340, 76.1233);103.2307;0.0773;142.2726;;
72712.1911;(-42.8100, 2.6340, 76.1233);99.6429;0.4351;141.8004;;
72712.2371;(-42.8100, 2.6340, 76.1233);94.4882;0.8021;143.8884;;
72712.2876;(-42.8100, 2.6340, 76.1233);89.0605;1.1818;143.1264;;
72712.3346;(-42.8100, 2.6340, 76.1233);85.0767;1.5039;123.6443;;
72712.3837;(-42.8100, 2.6340, 76.1233);82.6365;1.7010;133.7749;;
72712.4387;(-42.8100, 2.6340, 76.1233);80.8880;1.8421;139.2175;;
72712.4888;(-42.8100, 2.6340, 76.1233);79.9417;1.9184;140.4908;;
72712.5358;(-42.8100, 2.6340, 76.1233);79.5330;1.9431;142.5900;;
72712.5858;(-42.8100, 2.6340, 76.1233);79.6534;1.8385;143.2215;;
72712.6339;(-42.8100, 2.6340, 76.1233);80.0916;1.7021;143.8416;;
72712.6899;(-42.8100, 2.6340, 76.1233);80.6294;1.7203;143.9708;;
