***SESSION HEADER***
{
  "Participant": "testdkdesktop",
  "Timestamp": "12-09-13-25-08-2020"
}
---SESSION HEADER---
Time;Position;Rotation.X;Rotation.Y;FPS;Input;
43753.3904;(-42.8100, 2.5500, 76.1200);104.5605;0.0000;Infinity;;
43753.4194;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;Infinity;;
43753.4214;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;Infinity;;
43753.4409;(-42.8100, 2.6340, 76.1233);104.4605;359.8000;69.6286;;
43753.4472;(-42.8100, 2.6340, 76.1233);104.4605;359.8000;55.3742;;
43753.5006;(-42.8100, 2.6340, 76.1233);104.4605;359.8000;59.8871;;
43753.5512;(-42.8100, 2.6340, 76.1233);104.4605;359.8000;59.9221;;
43753.6005;(-42.8100, 2.6340, 76.1233);104.4605;359.8000;59.8960;;
43753.6512;(-42.8100, 2.6340, 76.1233);104.4605;359.8000;59.8474;;
43753.7003;(-42.8100, 2.6340, 76.1233);104.4605;359.8000;59.9644;;
43753.7515;(-42.8100, 2.6340, 76.1233);104.4605;359.8000;59.9923;;
43753.7998;(-42.8100, 2.6340, 76.1233);104.4605;359.8000;60.1670;;
43753.8507;(-42.8100, 2.6340, 76.1233);104.4605;359.8000;60.0035;;
43753.9005;(-42.8100, 2.6340, 76.1233);104.4605;359.8000;60.0344;;
43753.9512;(-42.8100, 2.6340, 76.1233);104.4466;359.8678;59.9214;;
43754.0145;(-42.8100, 2.6340, 76.1233);104.3730;0.0036;59.8267;;
43754.0509;(-42.8100, 2.6340, 76.1233);104.0807;0.4916;60.4213;;
43754.1004;(-42.8100, 2.6340, 76.1233);103.8338;0.8343;60.2501;;
43754.1514;(-42.8100, 2.6340, 76.1233);103.2132;1.6261;60.1718;;
43754.2003;(-42.8100, 2.6340, 76.1233);102.8882;2.0045;60.2707;;
43754.2510;(-42.8100, 2.6340, 76.1233);102.2273;2.7462;60.0776;;
43754.2998;(-42.8100, 2.6340, 76.1233);101.8827;3.1087;60.1222;;
43754.3503;(-42.8100, 2.6340, 76.1233);101.2992;3.7655;60.2141;;
43754.4000;(-42.8100, 2.6340, 76.1233);101.0783;4.0274;60.0624;;
43754.4505;(-42.8100, 2.6340, 76.1233);100.8085;4.3472;60.1802;;
43754.5003;(-42.8100, 2.6340, 76.1233);100.7251;4.4460;60.0433;;
43754.5513;(-42.8100, 2.6340, 76.1233);100.5986;4.5675;59.9980;;
43754.6003;(-42.8100, 2.6340, 76.1233);100.5607;4.6040;60.1242;;
43754.6511;(-42.8100, 2.6340, 76.1233);100.5126;4.6501;59.9772;;
43754.7003;(-42.8100, 2.6340, 76.1233);100.4982;4.6639;59.9977;;
43754.7502;(-42.8100, 2.6340, 76.1233);100.4803;4.6811;60.1835;;
43754.8008;(-42.8100, 2.6340, 76.1233);100.4748;4.6864;60.1044;;
43754.8500;(-42.8100, 2.6340, 76.1233);100.4680;4.6929;60.1783;;
43754.8999;(-42.8100, 2.6340, 76.1233);100.4659;4.6949;59.9759;;
43754.9502;(-42.8100, 2.6340, 76.1233);100.4872;4.6973;60.0679;;
43755.0002;(-42.8100, 2.6340, 76.1233);100.4937;4.6981;59.9817;;
43755.0512;(-42.8100, 2.6340, 76.1233);100.5094;4.6990;59.8673;;
43755.0992;(-42.8100, 2.6340, 76.1233);100.5234;4.6993;60.0107;;
43755.1509;(-42.8100, 2.6340, 76.1233);100.5412;4.6996;59.9929;;
43755.1991;(-42.8100, 2.6340, 76.1233);100.5465;4.6997;60.1696;;
43755.2511;(-42.8100, 2.6340, 76.1233);100.5532;4.6999;60.0001;;
43755.3004;(-42.8100, 2.6340, 76.1233);100.5552;4.6999;60.1105;;
43755.3501;(-42.8100, 2.6340, 76.1233);100.5578;4.6999;60.1585;;
43755.4001;(-42.8100, 2.6340, 76.1233);100.5585;4.7000;59.9269;;
43755.4501;(-42.8100, 2.6340, 76.1233);100.5595;4.7000;60.0102;;
43755.5001;(-42.8100, 2.6340, 76.1233);100.5598;4.7000;59.9620;;
43755.5011;(-42.8100, 2.6340, 76.1233);100.5598;4.7000;59.9078;ALT;
43755.5511;(-42.8100, 2.6340, 76.1233);100.5601;4.7000;59.9198;;
43755.5992;(-42.8100, 2.6340, 76.1233);100.5603;4.7000;60.0023;;
43755.6510;(-42.8100, 2.6340, 76.1233);100.5604;4.7000;59.9732;;
43755.7000;(-42.8100, 2.6340, 76.1233);100.5604;4.7000;60.2455;;
43755.7510;(-42.8100, 2.6340, 76.1233);100.5605;4.7000;60.0778;;
43755.7996;(-42.8100, 2.6340, 76.1233);100.5605;4.7000;60.0435;;
43755.8498;(-42.8100, 2.6340, 76.1233);100.5605;4.7000;60.1389;;
43755.8997;(-42.8100, 2.6340, 76.1233);100.5605;4.7000;60.0579;;
43755.9500;(-42.8100, 2.6340, 76.1233);100.5605;4.7000;60.1683;;
43756.0000;(-42.8100, 2.6340, 76.1233);100.5605;4.7000;59.9542;;
