***SESSION HEADER***
{
  "Participant": "testdkdesktop",
  "Timestamp": "12-34-34-25-08-2020"
}
---SESSION HEADER---
Time;Position;Rotation.X;Rotation.Y;FPS;Input;
45278.1575;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.1471;;
45278.2077;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;59.9338;;
45278.2577;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.1572;;
45278.3080;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;59.9858;;
45278.3577;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.1728;;
45278.4087;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;59.9406;;
45278.4577;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.1657;;
45278.5077;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;59.9984;;
45278.5574;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.1900;;
45278.6076;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.0026;;
45278.6571;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.1628;;
45278.7076;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;59.9571;;
45278.7576;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.1711;;
45278.8076;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;59.9504;;
45278.8575;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.1756;;
45278.9076;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;59.9885;;
45278.9575;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.1887;;
45279.0075;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;59.9498;;
45279.0575;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.1029;;
45279.1075;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;59.9764;;
45279.1576;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.1370;;
45279.2080;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.0408;;
45279.2574;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.1424;;
45279.3075;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;59.9745;;
45279.3575;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.1366;;
45279.4077;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;59.9412;;
45279.4415;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;59.9655;F5;
45279.4574;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.1807;;
45279.5074;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;59.9782;;
45279.5574;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.0265;;
45279.6078;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;59.9226;;
45279.6574;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;59.9662;;
45279.7072;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.1534;;
45279.7578;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;59.9934;;
45279.8074;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.0804;;
45279.8603;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.0081;;
45279.9073;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;59.9158;;
45279.9576;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.0756;;
45280.0073;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;59.9385;;
45280.0573;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.0522;;
45280.1073;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.0540;;
45280.1573;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;59.9686;;
45280.2072;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;60.0905;;
45280.2582;(-42.8100, 2.5500, 76.1200);101.7612;2.7495;59.9347;;
