***SESSION HEADER***
{
  "Participant": "testdkdesktop",
  "Timestamp": "12-16-53-25-08-2020"
}
---SESSION HEADER---
Time;Position;Rotation.X;Rotation.Y;FPS;Input;
44213.5402;(-42.8100, 2.5500, 76.1200);104.5605;0.0000;Infinity;;
44213.6181;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;Infinity;;
44213.6566;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;110.8840;;
44213.6635;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;110.8840;;
44213.6650;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;110.8840;;
44213.6870;(-42.8100, 2.6340, 76.1233);104.5605;359.9500;53.9894;;
44213.7378;(-42.8100, 2.6340, 76.1233);104.5605;359.9500;55.3844;;
44213.7865;(-42.8100, 2.6340, 76.1233);104.5605;359.9363;56.7224;;
44213.8382;(-42.8100, 2.6340, 76.1233);104.5393;359.7980;57.3516;;
44213.8871;(-42.8100, 2.6340, 76.1233);104.4684;359.4901;58.1285;;
44213.9375;(-42.8100, 2.6340, 76.1233);104.4078;359.2251;58.7225;;
44213.9878;(-42.8100, 2.6340, 76.1233);104.3700;359.0600;58.9435;;
44214.0372;(-42.8100, 2.6340, 76.1233);104.3473;358.9607;59.4222;;
44214.0880;(-42.8100, 2.6340, 76.1233);104.3330;358.8981;59.4006;;
44214.1373;(-42.8100, 2.6340, 76.1233);104.3244;358.8605;59.7160;;
44214.1879;(-42.8100, 2.6340, 76.1233);104.3190;358.8370;59.6743;;
44214.2370;(-42.8100, 2.6340, 76.1233);104.3156;358.8222;60.3908;;
44214.2869;(-42.8100, 2.6340, 76.1233);104.3137;358.8136;60.2348;;
44214.3369;(-42.8100, 2.6340, 76.1233);104.3125;358.8084;60.3084;;
44214.3877;(-42.8100, 2.6340, 76.1233);104.3117;358.8051;60.0810;;
44214.4373;(-42.8100, 2.6340, 76.1233);104.3113;358.8032;60.1898;;
44214.4876;(-42.8100, 2.6340, 76.1233);104.3110;358.8019;60.0137;;
44214.5370;(-42.8100, 2.6340, 76.1233);104.3108;358.8012;60.1253;;
44214.5873;(-42.8100, 2.6340, 76.1233);104.3107;358.8007;59.9565;;
44214.6374;(-42.8100, 2.6340, 76.1233);104.3106;358.8004;60.0269;;
44214.6878;(-42.8100, 2.6340, 76.1233);104.3106;358.8003;59.9993;;
44214.7206;(-42.8100, 2.6340, 76.1233);104.3106;358.8002;60.0493;CTRL;
44214.7373;(-42.8100, 2.6340, 76.1233);104.3106;358.8002;60.0155;;
44214.7878;(-42.8100, 2.6340, 76.1233);104.3106;358.8001;59.9638;;
44214.8367;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;60.0429;;
44214.8867;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;60.1536;;
44214.9373;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;60.0372;;
44214.9867;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;59.9947;;
44215.0377;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;59.9260;;
44215.0863;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;60.1460;;
44215.1375;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;59.9206;;
44215.1864;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;60.1305;;
44215.2370;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;59.8672;;
44215.2869;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;60.0906;;
44215.3040;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;59.9723;ALT;
44215.3374;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;59.9297;;
44215.3864;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;60.1468;;
44215.4369;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;59.9448;;
44215.4873;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;60.0351;;
44215.5374;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;59.9420;;
44215.5870;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;60.0252;;
44215.6376;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;59.9512;;
44215.6865;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;60.0420;;
44215.7375;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;59.9476;;
44215.7871;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;60.0145;;
44215.8365;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;59.9661;;
44215.8866;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;59.9814;;
44215.9367;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;60.0758;;
44215.9869;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;59.9338;;
44216.0365;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;60.0280;;
44216.0880;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;59.9405;;
44216.1369;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;60.0507;;
44216.1871;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;59.9785;;
44216.2363;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;60.0407;;
44216.2868;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;59.9840;;
44216.3369;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;60.0186;;
44216.3873;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;59.9401;;
44216.4364;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;59.9792;;
44216.4874;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;59.9969;;
44216.5364;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;59.9584;;
44216.5863;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;60.0432;;
44216.6363;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;59.9863;;
44216.6862;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;60.1792;;
44216.7367;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;59.9033;;
44216.7860;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;60.1220;;
44216.8368;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;59.8643;;
44216.8860;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;60.1112;;
44216.9372;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;59.9127;;
44216.9862;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;60.1468;;
44217.0369;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;59.9658;;
44217.0861;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;60.0360;;
44217.1372;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;59.9188;;
44217.1867;(-42.8100, 2.6340, 76.1233);104.3105;358.8000;60.1114;;
44217.2366;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;59.9724;;
44217.2861;(-42.8100, 2.6340, 76.1233);104.3106;358.8000;60.0834;;
