***SESSION HEADER***
{
  "Participant": "1001",
  "Timestamp": "13-36-24-17-07-2020"
}
---SESSION HEADER---
Time;Position;Rotation.X;Rotation.Y;FPS;Input;
305.6383;(-42.5415, 2.3248, 76.5332);28.3167;352.2442;Infinity;;
305.6520;(-42.5415, 2.3248, 76.5332);28.2947;352.2826;216.5143;;
305.7012;(-42.5404, 2.3244, 76.5355);28.1593;352.4704;164.2146;;
305.7681;(-42.5390, 2.3235, 76.5365);28.3419;353.1344;95.4543;;
305.8125;(-42.5379, 2.3227, 76.5365);28.3965;353.3887;78.5010;;
305.8574;(-42.5369, 2.3222, 76.5364);28.3286;353.4312;68.3513;;
305.9023;(-42.5358, 2.3216, 76.5353);28.3050;353.7086;62.2082;;
305.9693;(-42.5337, 2.3211, 76.5323);28.3183;353.8862;56.2823;;
306.0139;(-42.5328, 2.3214, 76.5309);28.2324;353.7622;53.6899;;
306.0583;(-42.5320, 2.3216, 76.5301);27.9001;353.7226;51.7125;;
306.1036;(-42.5313, 2.3215, 76.5295);27.6437;353.7056;50.2511;;
306.1495;(-42.5311, 2.3221, 76.5284);27.2683;353.5421;48.6215;;
306.2146;(-42.5334, 2.3254, 76.5257);25.6652;351.9502;47.8371;;
306.2599;(-42.5359, 2.3287, 76.5228);24.1864;350.3194;47.2489;;
306.3041;(-42.5397, 2.3319, 76.5194);22.4215;348.6888;46.7639;;
306.3504;(-42.5436, 2.3339, 76.5161);20.7040;347.5154;46.2430;;
306.4161;(-42.5473, 2.3340, 76.5124);18.8674;347.4635;45.9387;;
306.4607;(-42.5490, 2.3338, 76.5105);18.2309;347.5268;45.6731;;
306.5052;(-42.5512, 2.3345, 76.5091);17.7854;346.9058;45.5534;;
306.5517;(-42.5520, 2.3373, 76.5066);18.0946;345.2432;45.3279;;
306.6167;(-42.5525, 2.3407, 76.5014);19.1536;342.9614;45.2315;;
306.6619;(-42.5530, 2.3405, 76.4995);19.0132;342.9993;45.0407;;
306.7063;(-42.5524, 2.3381, 76.4995);18.7201;344.2655;45.0601;;
306.7523;(-42.5509, 2.3338, 76.5012);18.5948;346.5786;45.0155;;
306.8180;(-42.5477, 2.3181, 76.5054);18.0619;355.1613;44.9346;;
306.8625;(-42.5447, 2.3044, 76.5093);17.3703;2.5532;44.9522;;
306.9076;(-42.5415, 2.2952, 76.5135);16.8069;7.9582;44.9092;;
306.9533;(-42.5370, 2.2898, 76.5170);17.1757;10.6847;44.8262;;
307.0193;(-42.5297, 2.2836, 76.5213);17.3767;13.6589;44.8481;;
307.0636;(-42.5246, 2.2817, 76.5236);17.2761;14.5204;44.8267;;
307.1086;(-42.5208, 2.2795, 76.5246);16.9061;15.6102;44.8286;;
307.1542;(-42.5170, 2.2779, 76.5246);16.4821;16.2937;44.8297;;
307.2200;(-42.5144, 2.2763, 76.5232);15.3656;17.1152;44.8033;;
307.2648;(-42.5137, 2.2754, 76.5217);14.7036;17.4769;44.8345;;
307.3093;(-42.5138, 2.2746, 76.5202);13.6493;17.8519;44.8784;;
307.3539;(-42.5141, 2.2743, 76.5186);12.5567;18.1145;44.8320;;
307.3987;(-42.5140, 2.2739, 76.5166);11.9576;18.4048;44.8385;;
307.4651;(-42.5127, 2.2729, 76.5130);12.2972;18.9164;44.8181;;
307.5100;(-42.5123, 2.2723, 76.5113);12.5972;19.1187;44.7783;;
307.5551;(-42.5129, 2.2715, 76.5101);12.6509;19.4689;44.8341;;
307.5999;(-42.5138, 2.2705, 76.5089);12.7284;19.8039;44.7798;;
